epoch,step,train_loss,val_loss
0,124,,64876.11328125
0,124,100243.1015625,
1,249,,25672.947265625
1,249,43026.42578125,
2,374,,8466.1708984375
2,374,15831.0048828125,
3,499,,2268.122314453125
3,499,4814.376953125,
4,624,,485.6685791015625
4,624,1185.3114013671875,
5,749,,82.2762680053711
5,749,233.1966552734375,
6,874,,10.936283111572266
6,874,36.3416862487793,
7,999,,1.1290626525878906
7,999,4.449892044067383,
8,1124,,0.08920998871326447
8,1124,0.4239373803138733,
9,1249,,0.005269891116768122
9,1249,0.03105214424431324,
10,1374,,0.0002463756245560944
10,1374,0.001747451489791274,
11,1499,,4.7475310566369444e-05
11,1499,0.00010511880100239068,
12,1624,,4.468301631277427e-05
12,1624,3.702386311488226e-05,
13,1749,,4.483407974475995e-05
13,1749,3.528739762259647e-05,
14,1874,,4.534211620921269e-05
14,1874,3.519843448884785e-05,
15,1999,,4.534211620921269e-05
15,1999,3.502907929942012e-05,
16,2124,,4.5466073061106727e-05
16,2124,3.50192713085562e-05,
17,2249,,4.611608892446384e-05
17,2249,3.500651291687973e-05,
18,2374,,4.6197626943467185e-05
18,2374,3.5044580727117136e-05,
19,2499,,4.573634214466438e-05
19,2499,3.5032822779612616e-05,
20,2624,,4.534211620921269e-05
20,2624,3.5070326703134924e-05,
21,2749,,4.5466073061106727e-05
21,2749,3.505356653477065e-05,
22,2874,,4.573634214466438e-05
22,2874,3.512090188451111e-05,
