epoch,step,train_accuracy,train_f1_score,train_loss,val_loss
0,781,,,,0.2632550597190857
0,781,0.885200023651123,0.885200023651123,0.43972110748291016,
1,1563,,,,0.19937454164028168
1,1563,0.9376199841499329,0.9376199841499329,0.22152593731880188,
2,2345,,,,0.16699127852916718
2,2345,0.9508399963378906,0.9508399963378906,0.17246538400650024,
3,3127,,,,0.14451846480369568
3,3127,0.9592000246047974,0.9592000246047974,0.14242473244667053,
4,3909,,,,0.13753171265125275
4,3909,0.9652000069618225,0.9652000069618225,0.11995426565408707,
5,4691,,,,0.12133274227380753
5,4691,0.9691200256347656,0.9691200256347656,0.10392306745052338,
6,5473,,,,0.11729467660188675
6,5473,0.9733999967575073,0.9733999967575073,0.08977056294679642,
7,6255,,,,0.11208146810531616
7,6255,0.9767000079154968,0.9767000079154968,0.08025916665792465,
8,7037,,,,0.10946491360664368
8,7037,0.9782800078392029,0.9782800078392029,0.07184402644634247,
9,7819,,,,0.10659430921077728
9,7819,0.9808400273323059,0.9808400273323059,0.0641910582780838,
10,8601,,,,0.10930144041776657
10,8601,0.982699990272522,0.982699990272522,0.05760413035750389,
11,9383,,,,0.10194368660449982
11,9383,0.9845600128173828,0.9845600128173828,0.051470667123794556,
12,10165,,,,0.10423601418733597
12,10165,0.9859600067138672,0.9859600067138672,0.04713168367743492,
13,10947,,,,0.11082810908555984
13,10947,0.9871600270271301,0.9871600270271301,0.04270002990961075,
14,11729,,,,0.10713698714971542
14,11729,0.9884999990463257,0.9884999990463257,0.03837541118264198,
15,11730,,,,0.03803035989403725
