epoch,step,test_loss,train_loss,val_loss
0,124,,,56283.734375
0,124,,89243.2421875,
1,249,,,20988.0
1,249,,36473.25390625,
2,374,,,6381.32958984375
2,374,,12548.416015625,
3,499,,,1540.0675048828125
3,499,,3491.82958984375,
4,624,,,290.2811584472656
4,624,,769.2061157226562,
5,749,,,42.31447219848633
5,749,,132.4310302734375,
6,874,,,4.730258941650391
6,874,,17.665138244628906,
7,999,,,0.4011217951774597
7,999,,1.8093925714492798,
8,1124,,,0.025545289739966393
8,1124,,0.140785351395607,
9,1249,,,0.0012387257302179933
9,1249,,0.008243098855018616,
10,1374,,,8.141482248902321e-05
10,1374,,0.000389083317713812,
11,1499,,,3.981492773164064e-05
11,1499,,4.7073059249669313e-05,
12,1624,,,3.8941274397075176e-05
12,1624,,3.650393045973033e-05,
13,1749,,,3.853591624647379e-05
13,1749,,3.6202789488015696e-05,
14,1874,,,3.8364309148164466e-05
14,1874,,3.593448855099268e-05,
15,1999,,,3.8239810237428173e-05
15,1999,,3.579676922527142e-05,
16,2124,,,3.8239810237428173e-05
16,2124,,3.578820906113833e-05,
17,2249,,,3.8248854252742603e-05
17,2249,,3.578537507564761e-05,
18,2374,,,3.818507320829667e-05
18,2374,,3.588554682210088e-05,
19,2499,,,3.8223857700359076e-05
19,2499,,3.581357668736018e-05,
20,2624,,,3.82225371140521e-05
20,2624,,3.5816425224766135e-05,
21,2749,,,3.8303653127513826e-05
21,2749,,3.585084414226003e-05,
22,2874,,,3.8239810237428173e-05
22,2874,,3.5800712794298306e-05,
23,2999,,,3.82225371140521e-05
23,2999,,3.5824032238451764e-05,
24,3124,,,3.828715853160247e-05
24,3124,,3.591914355638437e-05,
25,3249,,,3.8303653127513826e-05
25,3249,,3.592827852116898e-05,
26,3374,,,3.844173261313699e-05
26,3374,,3.589540210668929e-05,
27,3499,,,3.82225371140521e-05
27,3499,,3.588202889659442e-05,
28,3624,,,3.829174966085702e-05
28,3624,,3.593152723624371e-05,
29,3625,,,3.50917071045842e-05
29,3625,3.886604463332333e-05,,
