epoch,step,train_loss,val_loss
0,124,,7.486171671189368e-05
0,124,305.09423828125,
1,249,,4.5488643081625924e-05
1,249,5.031433465774171e-05,
2,374,,5.1470509788487107e-05
2,374,4.0819202695274726e-05,
3,499,,5.2217448683222756e-05
3,499,3.9898015529615805e-05,
4,624,,6.282170943450183e-05
4,624,4.9878366553457454e-05,
5,749,,5.1752602303167805e-05
5,749,4.5310800487641245e-05,
6,874,,4.695534153142944e-05
6,874,4.450711639947258e-05,
7,999,,4.743467070511542e-05
7,999,4.220587288727984e-05,
8,1124,,5.1186583732487634e-05
8,1124,4.882875145995058e-05,
9,1249,,0.00010193925118073821
9,1249,5.022702316637151e-05,
10,1374,,5.1945815357612446e-05
10,1374,5.1686078222701326e-05,
11,1499,,4.5981720177223906e-05
11,1499,5.417161446530372e-05,
