epoch,step,test_loss,train_loss,val_loss
0,124,,,60061.296875
0,124,,95815.015625,
1,249,,,22774.8515625
1,249,,39157.875,
2,374,,,7109.4091796875
2,374,,13751.5107421875,
3,499,,,1776.55712890625
3,499,,3939.949951171875,
4,624,,,349.4940185546875
4,624,,900.7750244140625,
5,749,,,53.58518600463867
5,749,,162.1791229248047,
6,874,,,6.348669052124023
6,874,,22.79311752319336,
7,999,,,0.5753790140151978
7,999,,2.479048252105713,
8,1124,,,0.039361365139484406
8,1124,,0.20647390186786652,
9,1249,,,0.002023814246058464
9,1249,,0.01301485113799572,
10,1374,,,0.00010961946099996567
10,1374,,0.0006413249066099524,
11,1499,,,4.0279690438183025e-05
11,1499,,5.862155376235023e-05,
12,1624,,,3.9249098335858434e-05
12,1624,,3.889391155098565e-05,
13,1749,,,3.908807411789894e-05
13,1749,,3.830622154055163e-05,
14,1874,,,3.901580203091726e-05
14,1874,,3.813448711298406e-05,
15,1999,,,3.9008249586913735e-05
15,1999,,3.804023072007112e-05,
16,2124,,,3.9008249586913735e-05
16,2124,,3.8027930713724345e-05,
17,2249,,,3.907699283445254e-05
17,2249,,3.8039175706217065e-05,
18,2374,,,3.907699283445254e-05
18,2374,,3.8086549466243014e-05,
19,2499,,,3.907701466232538e-05
19,2499,,3.8001886423444375e-05,
20,2624,,,3.9050355553627014e-05
20,2624,,3.8063444662839174e-05,
21,2749,,,3.9050355553627014e-05
21,2749,,3.803509389399551e-05,
22,2874,,,3.920133531210013e-05
22,2874,,3.8110239984234795e-05,
23,2999,,,3.902893513441086e-05
23,2999,,3.804057269007899e-05,
24,3124,,,3.901943637174554e-05
24,3124,,3.821076461463235e-05,
25,3249,,,3.9050355553627014e-05
25,3249,,3.8059952203184366e-05,
26,3250,,,4.059134153067134e-05
26,3250,3.7501074984902516e-05,,
